movie_title,genres,title_year,gross,budget,imdb_score
Avatar ,Action,2009,760505847,237000000,7.9
Avatar ,Action,2009,760505847,237000000,7.9
Avatar ,Action,2009,760505847,237000000,7.9
Avatar ,Action,2009,760505847,237000000,7.9
Avatar ,Action,2009,760505847,237000000,7.9
Avatar ,Adventure,2009,760505847,237000000,7.9
Avatar ,Adventure,2009,760505847,237000000,7.9
Avatar ,Adventure,2009,760505847,237000000,7.9
Avatar ,Adventure,2009,760505847,237000000,7.9
Avatar ,Adventure,2009,760505847,237000000,7.9
Avatar ,Fantasy,2009,760505847,237000000,7.9
Avatar ,Fantasy,2009,760505847,237000000,7.9
Avatar ,Fantasy,2009,760505847,237000000,7.9
Avatar ,Fantasy,2009,760505847,237000000,7.9
Avatar ,Fantasy,2009,760505847,237000000,7.9
Avatar ,Sci-Fi,2009,760505847,237000000,7.9
Avatar ,Sci-Fi,2009,760505847,237000000,7.9
Avatar ,Sci-Fi,2009,760505847,237000000,7.9
Avatar ,Sci-Fi,2009,760505847,237000000,7.9
Avatar ,Sci-Fi,2009,760505847,237000000,7.9
Pirates of the Caribbean: At World's End ,Action,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Action,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Action,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Action,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Action,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Adventure,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Adventure,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Adventure,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Adventure,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Adventure,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Fantasy,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Fantasy,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Fantasy,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Fantasy,2007,309404152,300000000,7.1
Pirates of the Caribbean: At World's End ,Fantasy,2007,309404152,300000000,7.1
Spectre ,Action,2015,200074175,245000000,6.8
Spectre ,Action,2015,200074175,245000000,6.8
Spectre ,Action,2015,200074175,245000000,6.8
Spectre ,Action,2015,200074175,245000000,6.8
Spectre ,Action,2015,200074175,245000000,6.8
Spectre ,Adventure,2015,200074175,245000000,6.8
Spectre ,Adventure,2015,200074175,245000000,6.8
Spectre ,Adventure,2015,200074175,245000000,6.8
Spectre ,Adventure,2015,200074175,245000000,6.8
Spectre ,Adventure,2015,200074175,245000000,6.8
Spectre ,Thriller,2015,200074175,245000000,6.8
Spectre ,Thriller,2015,200074175,245000000,6.8
Spectre ,Thriller,2015,200074175,245000000,6.8
Spectre ,Thriller,2015,200074175,245000000,6.8
Spectre ,Thriller,2015,200074175,245000000,6.8
The Dark Knight Rises ,Action,2012,448130642,250000000,8.5
The Dark Knight Rises ,Action,2012,448130642,250000000,8.5
The Dark Knight Rises ,Action,2012,448130642,250000000,8.5
The Dark Knight Rises ,Action,2012,448130642,250000000,8.5
The Dark Knight Rises ,Action,2012,448130642,250000000,8.5
The Dark Knight Rises ,Thriller,2012,448130642,250000000,8.5
The Dark Knight Rises ,Thriller,2012,448130642,250000000,8.5
The Dark Knight Rises ,Thriller,2012,448130642,250000000,8.5
The Dark Knight Rises ,Thriller,2012,448130642,250000000,8.5
The Dark Knight Rises ,Thriller,2012,448130642,250000000,8.5
John Carter ,Action,2012,73058679,263700000,6.6
John Carter ,Action,2012,73058679,263700000,6.6
John Carter ,Action,2012,73058679,263700000,6.6
John Carter ,Action,2012,73058679,263700000,6.6
John Carter ,Action,2012,73058679,263700000,6.6
John Carter ,Adventure,2012,73058679,263700000,6.6
John Carter ,Adventure,2012,73058679,263700000,6.6
John Carter ,Adventure,2012,73058679,263700000,6.6
John Carter ,Adventure,2012,73058679,263700000,6.6
John Carter ,Adventure,2012,73058679,263700000,6.6
John Carter ,Sci-Fi,2012,73058679,263700000,6.6
John Carter ,Sci-Fi,2012,73058679,263700000,6.6
John Carter ,Sci-Fi,2012,73058679,263700000,6.6
John Carter ,Sci-Fi,2012,73058679,263700000,6.6
John Carter ,Sci-Fi,2012,73058679,263700000,6.6
Spider-Man 3 ,Action,2007,336530303,258000000,6.2
Spider-Man 3 ,Action,2007,336530303,258000000,6.2
Spider-Man 3 ,Action,2007,336530303,258000000,6.2
Spider-Man 3 ,Action,2007,336530303,258000000,6.2
Spider-Man 3 ,Action,2007,336530303,258000000,6.2
Spider-Man 3 ,Adventure,2007,336530303,258000000,6.2
Spider-Man 3 ,Adventure,2007,336530303,258000000,6.2
Spider-Man 3 ,Adventure,2007,336530303,258000000,6.2
Spider-Man 3 ,Adventure,2007,336530303,258000000,6.2
Spider-Man 3 ,Adventure,2007,336530303,258000000,6.2
Spider-Man 3 ,Romance,2007,336530303,258000000,6.2
Spider-Man 3 ,Romance,2007,336530303,258000000,6.2
Spider-Man 3 ,Romance,2007,336530303,258000000,6.2
Spider-Man 3 ,Romance,2007,336530303,258000000,6.2
Spider-Man 3 ,Romance,2007,336530303,258000000,6.2
Tangled ,Adventure,2010,200807262,260000000,7.8
Tangled ,Adventure,2010,200807262,260000000,7.8
Tangled ,Adventure,2010,200807262,260000000,7.8
Tangled ,Adventure,2010,200807262,260000000,7.8
Tangled ,Adventure,2010,200807262,260000000,7.8
Tangled ,Animation,2010,200807262,260000000,7.8
Tangled ,Animation,2010,200807262,260000000,7.8
Tangled ,Animation,2010,200807262,260000000,7.8
Tangled ,Animation,2010,200807262,260000000,7.8
Tangled ,Animation,2010,200807262,260000000,7.8
Tangled ,Comedy,2010,200807262,260000000,7.8
Tangled ,Comedy,2010,200807262,260000000,7.8
Tangled ,Comedy,2010,200807262,260000000,7.8
Tangled ,Comedy,2010,200807262,260000000,7.8
Tangled ,Comedy,2010,200807262,260000000,7.8
Tangled ,Family,2010,200807262,260000000,7.8
Tangled ,Family,2010,200807262,260000000,7.8
Tangled ,Family,2010,200807262,260000000,7.8
Tangled ,Family,2010,200807262,260000000,7.8
Tangled ,Family,2010,200807262,260000000,7.8
Tangled ,Fantasy,2010,200807262,260000000,7.8
Tangled ,Fantasy,2010,200807262,260000000,7.8
Tangled ,Fantasy,2010,200807262,260000000,7.8
Tangled ,Fantasy,2010,200807262,260000000,7.8
Tangled ,Fantasy,2010,200807262,260000000,7.8
Tangled ,Musical,2010,200807262,260000000,7.8
Tangled ,Musical,2010,200807262,260000000,7.8
Tangled ,Musical,2010,200807262,260000000,7.8
Tangled ,Musical,2010,200807262,260000000,7.8
Tangled ,Musical,2010,200807262,260000000,7.8
Tangled ,Romance,2010,200807262,260000000,7.8
Tangled ,Romance,2010,200807262,260000000,7.8
Tangled ,Romance,2010,200807262,260000000,7.8
Tangled ,Romance,2010,200807262,260000000,7.8
Tangled ,Romance,2010,200807262,260000000,7.8
Avengers: Age of Ultron ,Action,2015,458991599,250000000,7.5
Avengers: Age of Ultron ,Action,2015,458991599,250000000,7.5
Avengers: Age of Ultron ,Action,2015,458991599,250000000,7.5
Avengers: Age of Ultron ,Action,2015,458991599,250000000,7.5
Avengers: Age of Ultron ,Action,2015,458991599,250000000,7.5
Avengers: Age of Ultron ,Adventure,2015,458991599,250000000,7.5
